symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
FIX,Comfort Systems USA Inc. Common Stock,Industrials,1881.18,66206867828,true,true,true,false,16,0.2,,unknown,,unknown,,unknown,,,22700,6,12,5
KMB,Kimberly-Clark Corporation Common Stock,Consumer Discretionary,107.91,35888603991,true,true,true,false,13,1.64,,unknown,,unknown,,unknown,,,36000,6,12,5
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,211.96,43951309599,true,true,true,false,10,0.85,,unknown,,unknown,,unknown,,,20591,6,12,5
FOXA,Fox Corporation Class A Common Stock,Industrials,69.19,29035593809,true,true,true,false,10,0.1,,unknown,,unknown,,unknown,,,10550,6,12,5
KVUE,Kenvue Inc. Common Stock,Consumer Discretionary,18.79,36091333445,true,true,true,false,11,4.49,,unknown,,unknown,,unknown,,,22000,6,12,5
HPE,Hewlett Packard Enterprise Company Common Stock,Technology,57.61,76287364845,true,true,true,false,9,9.5,,unknown,,unknown,,unknown,,,67000,6,12,5
RJF,Raymond James Financial Inc. Common Stock,Finance,179.48,34525079890,true,true,true,false,12,1.21,,unknown,,unknown,,unknown,,,19500,6,12,5
VIK,Viking Holdings Ltd Ordinary Shares,Consumer Discretionary,99.86,44516193855,true,true,true,false,11,0.54,,unknown,,unknown,,unknown,,,13000,6,12,5
NTRA,Natera Inc. Common Stock,Health Care,314.18,45287215331,true,true,true,false,14,4.94,,unknown,,unknown,,unknown,,,6140,6,12,5
FITB,Fifth Third Bancorp Common Stock,Finance,57.6,52237011686,true,true,true,false,13,0.04,,unknown,,unknown,,unknown,,,18676,6,12,5
MTB,M&T Bank Corporation Common Stock,Finance,252.86,36517096009,true,true,true,false,11,0.14,,unknown,,unknown,,unknown,,,22278,6,12,5
TER,Teradyne Inc. Common Stock,Industrials,443.14,69280839955,true,true,true,false,13,0.45,,unknown,,unknown,,unknown,,,6600,6,12,5
HUM,Humana Inc. Common Stock,Health Care,384.31,46148063167,true,true,true,false,10,0.1,,unknown,,unknown,,unknown,,,67060,6,12,5
SYF,Synchrony Financial Common Stock,Finance,80.75,30043647001,true,true,true,false,9,0.08,,unknown,,unknown,,unknown,,,20000,6,12,5
LPLA,LPL Financial Holdings Inc. Common Stock,Finance,368.2,28992911178,true,true,true,false,11,19.89,,unknown,,unknown,,unknown,,,10099,6,12,5
IBKR,Interactive Brokers Group Inc. Class A Common Stock,Finance,94.33,42738863870,true,true,true,false,13,0.06,,unknown,,unknown,,unknown,,,3182,6,12,5
FOX,Fox Corporation Class B Common Stock,Industrials,61.49,25804287662,true,true,true,false,8,0.12,,unknown,,unknown,,unknown,,,10550,6,12,5
KHC,The Kraft Heinz Company Common Stock,Consumer Staples,24.75,29349138011,true,true,true,false,8,2.18,,unknown,,unknown,,unknown,,,35000,6,12,5
ALAB,Astera Labs Inc. Common Stock,Technology,320.17,55544725748,true,true,true,false,13,0.58,,unknown,,unknown,,unknown,,,756,6,12,5
